
> frontend@0.9.83 dev:frontend
> next dev

▲ Next.js 16.2.7 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.7:3000
✓ Ready in 1377ms
○ Compiling proxy ...

○ Compiling / ...
 GET /api/ai/agent-actions 403 in 30ms (next.js: 7ms, application-code: 23ms)
 GET /api/ai/agent-actions 403 in 41ms (next.js: 23ms, application-code: 18ms)
 GET /api/ai/agent-actions 403 in 21ms (next.js: 4ms, application-code: 17ms)
 GET / 200 in 441ms (next.js: 127ms, proxy.ts: 27ms, application-code: 287ms)
 GET / 200 in 151ms (next.js: 6ms, proxy.ts: 8ms, application-code: 137ms)
 GET /api/mesh/infonet/status 200 in 5.8s (next.js: 46ms, application-code: 5.7s)
 GET /api/health 200 in 5.7s (next.js: 55ms, application-code: 5.7s)
 GET /api/settings/wormhole 200 in 5.8s (next.js: 32ms, application-code: 5.8s)
 GET /api/settings/api-keys 403 in 5.7s (next.js: 29ms, application-code: 5.7s)
 GET /api/prediction-markets/status 403 in 5.8s (next.js: 30ms, application-code: 5.7s)
 GET /api/ai/timemachine/hourly-index 403 in 66ms (next.js: 11ms, application-code: 55ms)
 GET /api/ai/timemachine/snapshots?limit=100 403 in 72ms (next.js: 54ms, application-code: 19ms)
 GET /api/liveuamap/scraper-status 403 in 34ms (next.js: 7ms, application-code: 27ms)
 GET /api/health 200 in 37ms (next.js: 7ms, application-code: 30ms)
 GET /api/sar/status 200 in 30ms (next.js: 12ms, application-code: 19ms)
 GET /api/bootstrap/critical 200 in 6.1s (next.js: 20ms, application-code: 6.1s)
 GET /api/wormhole/status 200 in 311ms (next.js: 11ms, application-code: 300ms)
 GET /api/ai/pins?limit=500 403 in 186ms (next.js: 4ms, application-code: 183ms)
 GET /api/ai/layers 403 in 216ms (next.js: 3ms, application-code: 213ms)
 GET /api/mesh/gate/list 200 in 308ms (next.js: 20ms, application-code: 289ms)
 GET /api/settings/privacy-profile 200 in 316ms (next.js: 12ms, application-code: 303ms)
 GET /api/tools/shodan/status 403 in 255ms (next.js: 6ms, application-code: 249ms)
 GET /api/settings/timemachine 403 in 51ms (next.js: 31ms, application-code: 20ms)
 GET /api/ai/timemachine/config 403 in 89ms (next.js: 18ms, application-code: 71ms)
 GET /api/ai/timemachine/snapshots?limit=100 403 in 92ms (next.js: 33ms, application-code: 59ms)
 GET /api/ai/timemachine/hourly-index 403 in 98ms (next.js: 24ms, application-code: 74ms)
 GET /api/ai/agent-actions 403 in 98ms (next.js: 51ms, application-code: 47ms)
 POST /api/layers 403 in 107ms (next.js: 39ms, application-code: 68ms)
 GET /api/health 200 in 104ms (next.js: 50ms, application-code: 53ms)
 GET /api/liveuamap/scraper-status 403 in 55ms (next.js: 8ms, application-code: 46ms)
 GET /api/sar/status 200 in 59ms (next.js: 16ms, application-code: 43ms)
