
> frontend@0.9.83 dev:frontend
> next dev

▲ Next.js 16.2.7 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.7:3000
✓ Ready in 3.4s

○ Compiling / ...
 GET /api/health 200 in 43ms (next.js: 25ms, application-code: 17ms)
 GET /api/ai/layers 200 in 41ms (next.js: 7ms, application-code: 34ms)
 GET /api/ai/pins?limit=500 200 in 45ms (next.js: 12ms, application-code: 32ms)
 GET /api/ai/timemachine/config 200 in 63ms (next.js: 28ms, application-code: 35ms)
 GET /api/settings/timemachine 200 in 68ms (next.js: 19ms, application-code: 49ms)
 GET /api/live-data/fast?lv=ships%3A10%2Ccommercial_flights%3A12%2Cmilitary_flights%3A10%2Cprivate_flights%3A12%2Cprivate_jets%3A12%2Cuavs%3A10%2Csatellites%3A10%2Csigint%3A11%2Ctrains%3A10 200 in 2.5s (next.js: 212ms, application-code: 2.3s)
 GET /api/ai/agent-actions 200 in 2.5s (next.js: 159ms, application-code: 2.4s)
 GET /api/ai/pins/geojson 200 in 1748ms (next.js: 51ms, application-code: 1697ms)
 GET /api/live-data/slow 200 in 2.1s (next.js: 54ms, application-code: 2.0s)
 GET /api/ai/agent-actions 200 in 1111ms (next.js: 6ms, application-code: 1105ms)
 GET /api/mesh/infonet/status 200 in 4.6s (next.js: 10ms, application-code: 4.6s)
 POST /api/viewport 200 in 6.0s (next.js: 31ms, application-code: 6.0s)
 GET /api/ai/agent-actions 200 in 5.1s (next.js: 13ms, application-code: 5.0s)
 GET /api/ai/agent-actions 200 in 36ms (next.js: 19ms, application-code: 17ms)
 GET /api/settings/wormhole 200 in 39ms (next.js: 10ms, application-code: 29ms)
 GET /api/wormhole/status 200 in 324ms (next.js: 22ms, application-code: 302ms)
 GET /api/ai/agent-actions 200 in 45ms (next.js: 16ms, application-code: 29ms)
 GET /api/ai/agent-actions 200 in 34ms (next.js: 17ms, application-code: 17ms)
 GET /api/ai/pins/geojson 200 in 7.6s (next.js: 19ms, application-code: 7.5s)
 GET /api/health 200 in 2.6s (next.js: 25ms, application-code: 2.5s)
 GET /api/mesh/infonet/status 200 in 2.6s (next.js: 17ms, application-code: 2.5s)
 GET /api/ai/agent-actions 200 in 6.6s (next.js: 8ms, application-code: 6.6s)
 GET /api/ai/agent-actions 200 in 32ms (next.js: 18ms, application-code: 14ms)
 GET /api/ai/agent-actions 200 in 17ms (next.js: 5ms, application-code: 12ms)
 GET /api/ai/agent-actions 200 in 36ms (next.js: 17ms, application-code: 19ms)
 GET /api/ai/layers 200 in 42ms (next.js: 25ms, application-code: 18ms)
 GET /api/ai/pins?limit=500 200 in 27ms (next.js: 10ms, application-code: 17ms)
 GET /api/settings/wormhole 200 in 42ms (next.js: 17ms, application-code: 25ms)
 GET /api/wormhole/status 200 in 262ms (next.js: 26ms, application-code: 236ms)
 GET /api/ai/agent-actions 200 in 33ms (next.js: 6ms, application-code: 27ms)
 GET /api/ai/pins/geojson 200 in 56ms (next.js: 23ms, application-code: 33ms)
 GET /api/ai/agent-actions 200 in 25ms (next.js: 4ms, application-code: 21ms)
 GET /api/ai/agent-actions 200 in 53ms (next.js: 25ms, application-code: 28ms)
 GET /api/mesh/infonet/status 200 in 383ms (next.js: 6ms, application-code: 377ms)
 GET /api/ai/agent-actions 200 in 38ms (next.js: 18ms, application-code: 20ms)
 GET /api/ai/agent-actions 200 in 49ms (next.js: 32ms, application-code: 18ms)
 GET /api/ai/agent-actions 200 in 46ms (next.js: 22ms, application-code: 24ms)
 GET /api/settings/wormhole 200 in 68ms (next.js: 15ms, application-code: 52ms)
 GET /api/wormhole/status 200 in 329ms (next.js: 45ms, application-code: 284ms)
 GET /api/ai/pins/geojson 200 in 7.4s (next.js: 21ms, application-code: 7.4s)
 GET /api/health 200 in 2.3s (next.js: 29ms, application-code: 2.3s)
 GET /api/mesh/infonet/status 200 in 2.4s (next.js: 29ms, application-code: 2.3s)
 GET /api/ai/agent-actions 200 in 6.4s (next.js: 4ms, application-code: 6.4s)
 GET /api/ai/agent-actions 200 in 37ms (next.js: 18ms, application-code: 19ms)
 GET /api/ai/agent-actions 200 in 24ms (next.js: 4ms, application-code: 21ms)
 GET /api/ai/agent-actions 200 in 68ms (next.js: 23ms, application-code: 46ms)
 GET /api/health 200 in 45ms (next.js: 16ms, application-code: 29ms)
 GET /api/ai/layers 200 in 54ms (next.js: 9ms, application-code: 45ms)
 GET /api/ai/pins?limit=500 200 in 59ms (next.js: 19ms, application-code: 41ms)
 GET /api/ai/timemachine/config 200 in 65ms (next.js: 38ms, application-code: 27ms)
 GET /api/settings/timemachine 200 in 73ms (next.js: 28ms, application-code: 45ms)
 GET /api/ai/agent-actions 200 in 45ms (next.js: 25ms, application-code: 19ms)
 GET /api/ai/pins/geojson 200 in 26ms (next.js: 14ms, application-code: 12ms)
 GET /api/ai/agent-actions 200 in 36ms (next.js: 16ms, application-code: 20ms)
 GET /api/settings/wormhole 200 in 22ms (next.js: 5ms, application-code: 18ms)
 GET /api/wormhole/status 200 in 200ms (next.js: 10ms, application-code: 190ms)
 GET /api/ai/agent-actions 200 in 32ms (next.js: 17ms, application-code: 16ms)
 GET /api/mesh/infonet/status 200 in 243ms (next.js: 12ms, application-code: 231ms)
 GET /api/ai/agent-actions 200 in 58ms (next.js: 19ms, application-code: 39ms)
 GET /api/ai/agent-actions 200 in 142ms (next.js: 20ms, application-code: 121ms)
 GET /api/live-data/fast?lv=ships%3A11%2Ccommercial_flights%3A12%2Cmilitary_flights%3A10%2Cprivate_flights%3A12%2Cprivate_jets%3A12%2Cuavs%3A10%2Csatellites%3A11%2Csigint%3A12%2Ctrains%3A11 200 in 513ms (next.js: 26ms, application-code: 487ms)
 GET /api/live-data/slow 200 in 887ms (next.js: 7ms, application-code: 880ms)
 GET /api/ai/agent-actions 200 in 23ms (next.js: 4ms, application-code: 19ms)
 GET /api/sar/aois 200 in 289ms (next.js: 194ms, application-code: 94ms)
 GET /api/ai/pins/geojson 200 in 381ms (next.js: 203ms, application-code: 177ms)
 GET /api/ai/agent-actions 200 in 7.5s (next.js: 7ms, application-code: 7.5s)
 GET /api/settings/wormhole 200 in 5.6s (next.js: 38ms, application-code: 5.6s)
 GET /api/health 200 in 3.5s (next.js: 3ms, application-code: 3.5s)
 GET /api/mesh/infonet/status 200 in 3.5s (next.js: 13ms, application-code: 3.5s)
 GET /api/wormhole/status 200 in 5.6s (next.js: 53ms, application-code: 5.6s)
 GET /api/live-data/fast?lv=ships%3A12%2Ccommercial_flights%3A16%2Cmilitary_flights%3A12%2Cprivate_flights%3A16%2Cprivate_jets%3A16%2Cuavs%3A12%2Csatellites%3A12%2Csigint%3A13%2Ctrains%3A12 304 in 320ms (next.js: 22ms, application-code: 298ms)
 POST /api/viewport 200 in 2.6s (next.js: 5ms, application-code: 2.6s)
 GET /api/live-data/slow 304 in 42ms (next.js: 12ms, application-code: 30ms)
 GET /api/ai/agent-actions 200 in 39ms (next.js: 6ms, application-code: 33ms)
 GET /api/ai/agent-actions 200 in 25ms (next.js: 5ms, application-code: 20ms)
 GET /api/ai/agent-actions 200 in 46ms (next.js: 15ms, application-code: 31ms)
 GET /api/ai/layers 200 in 48ms (next.js: 21ms, application-code: 27ms)
 GET /api/ai/pins?limit=500 200 in 52ms (next.js: 36ms, application-code: 16ms)
